Date,Open,High,Low,Close,Adj Close,Volume
2020-06-01,303.6199951171875,306.2049865722656,303.05999755859375,305.54998779296875,305.54998779296875,56779836
2020-06-02,306.54998779296875,308.1300048828125,305.1000061035156,308.0799865722656,308.0799865722656,74267162
2020-06-03,310.239990234375,313.2200012207031,309.94000244140625,312.17999267578125,312.17999267578125,92567574
2020-06-04,311.1099853515625,313.0,309.0799865722656,311.3599853515625,311.3599853515625,75794363
2020-06-05,317.2300109863281,321.2749938964844,317.1600036621094,319.3399963378906,319.3399963378906,150524674
2020-06-08,320.2200012207031,323.4100036621094,319.6300048828125,323.20001220703125,323.20001220703125,73641217
2020-06-09,320.29998779296875,323.284912109375,319.3599853515625,320.7900085449219,320.7900085449219,77479228
2020-06-10,321.4200134277344,322.3900146484375,318.22088623046875,319.0,319.0,95000766
2020-06-11,311.4599914550781,312.1499938964844,300.010009765625,300.6099853515625,300.6099853515625,209243560
2020-06-12,308.239990234375,309.0799865722656,298.6000061035156,304.2099914550781,304.2099914550781,194678879
2020-06-15,298.0199890136719,308.2799987792969,296.739990234375,307.04998779296875,307.04998779296875,135782724
2020-06-16,315.4800109863281,315.6400146484375,307.6700134277344,312.9599914550781,312.9599914550781,137627502
2020-06-17,314.07000732421875,314.3900146484375,310.8599853515625,311.6600036621094,311.6600036621094,83398944
2020-06-18,310.0050048828125,312.29998779296875,309.510009765625,311.7799987792969,311.7799987792969,80828658
2020-06-19,314.1700134277344,314.3800048828125,306.5299987792969,308.6400146484375,308.6400146484375,135549624
2020-06-22,307.989990234375,311.04998779296875,306.75,310.6199951171875,310.6199951171875,74649389
2020-06-23,313.489990234375,314.5,311.610107421875,312.04998779296875,312.04998779296875,68471246
2020-06-24,309.8399963378906,310.510009765625,302.1000061035156,304.0899963378906,304.0899963378906,132813492
2020-06-25,303.4700012207031,307.6400146484375,301.2799987792969,307.3500061035156,307.3500061035156,89467968
2020-06-26,306.1600036621094,306.3900146484375,299.4200134277344,300.04998779296875,300.04998779296875,127961017
2020-06-29,301.4100036621094,304.6099853515625,298.92999267578125,304.4599914550781,304.4599914550781,79773260
2020-06-30,303.989990234375,310.20001220703125,303.82000732421875,308.3599853515625,308.3599853515625,113394772
2020-07-01,309.57000732421875,311.8900146484375,309.07000732421875,310.5199890136719,310.5199890136719,72396542
2020-07-02,314.239990234375,315.70001220703125,311.510009765625,312.2300109863281,312.2300109863281,69344217
2020-07-06,316.3699951171875,317.67999267578125,315.55999755859375,317.04998779296875,317.04998779296875,61713828
2020-07-07,315.3800048828125,317.5199890136719,313.3699951171875,313.7799987792969,313.7799987792969,82909963
2020-07-08,314.6099853515625,316.29998779296875,312.70001220703125,316.17999267578125,316.17999267578125,54638596
2020-07-09,316.8399963378906,317.1000061035156,310.67999267578125,314.3800048828125,314.3800048828125,83354158
2020-07-10,314.30999755859375,317.8800048828125,312.760009765625,317.5899963378906,317.5899963378906,57550365
2020-07-13,320.1300048828125,322.7099914550781,314.1300048828125,314.8399963378906,314.8399963378906,102997484
2020-07-14,313.29998779296875,319.760009765625,312.0,318.9200134277344,318.9200134277344,93656951
2020-07-15,322.4100036621094,323.0400085449219,319.2650146484375,321.8500061035156,321.8500061035156,87196524
2020-07-16,319.7900085449219,321.2799987792969,319.0899963378906,320.7900085449219,320.7900085449219,54622520
2020-07-17,321.8800048828125,322.57000732421875,319.7349853515625,321.7200012207031,321.7200012207031,62774911
2020-07-20,321.42999267578125,325.1300048828125,320.6199951171875,324.32000732421875,324.32000732421875,56308849
2020-07-21,326.45001220703125,326.92999267578125,323.94000244140625,325.010009765625,325.010009765625,57498967
2020-07-22,324.6199951171875,327.20001220703125,324.5,326.8599853515625,326.8599853515625,57792915
2020-07-23,326.4700012207031,327.2300109863281,321.4800109863281,322.9599914550781,322.9599914550781,75737989
2020-07-24,320.95001220703125,321.989990234375,319.2460021972656,320.8800048828125,320.8800048828125,73766597
2020-07-27,321.6300048828125,323.4100036621094,320.7749938964844,323.2200012207031,323.2200012207031,48292970
2020-07-28,322.42999267578125,323.6400146484375,320.8500061035156,321.1700134277344,321.1700134277344,57494979
2020-07-29,322.1199951171875,325.7300109863281,322.07501220703125,325.1199951171875,325.1199951171875,48454159
2020-07-30,321.8999938964844,324.4100036621094,319.6400146484375,323.9599914550781,323.9599914550781,61861714
2020-07-31,325.8999938964844,326.6300048828125,321.3299865722656,326.5199890136719,326.5199890136719,85210755
2020-08-03,328.32000732421875,329.6199951171875,327.7300109863281,328.7900085449219,328.7900085449219,53077948
2020-08-04,327.8599853515625,330.05999755859375,327.8599853515625,330.05999755859375,330.05999755859375,41917893
2020-08-05,331.4700012207031,332.3900146484375,331.17999267578125,332.1099853515625,332.1099853515625,42866354
2020-08-06,331.4798889160156,334.4599914550781,331.1300048828125,334.3299865722656,334.3299865722656,43679447
2020-08-07,333.2799987792969,334.8800048828125,332.29998779296875,334.57000732421875,334.57000732421875,57308270
2020-08-10,335.05999755859375,335.7699890136719,332.9549865722656,335.57000732421875,335.57000732421875,44282089
2020-08-11,336.8500061035156,337.5400085449219,332.010009765625,332.79998779296875,332.79998779296875,69601087
2020-08-12,335.44000244140625,338.2799987792969,332.83770751953125,337.44000244140625,337.44000244140625,53826128
2020-08-13,336.6099853515625,338.25140380859375,335.8299865722656,336.8299865722656,336.8299865722656,41816146
2020-08-14,336.4100036621094,337.4200134277344,335.6199951171875,336.8399963378906,336.8399963378906,47260390
2020-08-17,337.94000244140625,338.3399963378906,336.8517150878906,337.9100036621094,337.9100036621094,35480974
